#Program: R2: Genomics analysis and visualization platform,,,,
#Website: https://r2.amc.nl,,,,
#Support: r2-support@amsterdamumc.nl,,,,
#Date: 2025-02-22 (19:48:29),,,,
#Comparison: groups,,,,
#Data transformation: transform_log2,,,,
#Dataset: ps_avgpres_broadgbm540_u133a,,,,
#Groups: mesenchymal;proneural,,,,
#Minimal presentcalls: 1,,,,
#Number of lines: 3246,,,,
#Output: anova fdr p<=0.01,,,,
#Pretty_dataset: Tumor Glioblastoma - TCGA - 540 - MAS5.0 - u133a,,,,
"#Subset: subtype~mesenchymal,proneural (n=51)",,,,
#Test: anova,,,,
#Track: subtype,,,,
#Values field: ,,,,
#H:probeset,hugo,corrected-pvalue,log2fc,sublist
212388_at,USP24,0.000623316,0.669188102,subtype: mesenchymal < proneural
213654_at,TAF5L,0.004225656,0.420940239,subtype: mesenchymal < proneural
221481_x_at,HNRNPD,1.36E-05,0.531082438,subtype: mesenchymal < proneural
201997_s_at,SPEN,0.000250426,0.55385811,subtype: mesenchymal < proneural
203556_at,ZHX2,0.001946373,0.777365441,subtype: mesenchymal < proneural
219643_at,LRP1B,0.000564301,1.039455963,subtype: mesenchymal < proneural
208672_s_at,SRSF3,1.82E-05,0.464748576,subtype: mesenchymal < proneural
204651_at,NRF1,0.000763808,0.422580582,subtype: mesenchymal < proneural
208812_x_at,HLA-C,1.60E-06,-0.970188834,subtype: mesenchymal >= proneural
201809_s_at,ENG,1.60E-06,-1.184271586,subtype: mesenchymal >= proneural
205368_at,FAM131B,0.002730697,1.228788492,subtype: mesenchymal < proneural
221730_at,COL5A2,1.61E-06,-2.186052214,subtype: mesenchymal >= proneural
218749_s_at,SLC24A6,1.62E-06,-1.493170541,subtype: mesenchymal >= proneural
215245_x_at,FMR1,5.48E-05,0.510422478,subtype: mesenchymal < proneural
218367_x_at,USP21,0.004165461,0.49948391,subtype: mesenchymal < proneural
221081_s_at,DENND2D,1.62E-06,-1.934125886,subtype: mesenchymal >= proneural
201803_at,POLR2B,0.000501923,0.606325365,subtype: mesenchymal < proneural
209365_s_at,ECM1,1.63E-06,-1.289540984,subtype: mesenchymal >= proneural
41469_at,PI3,1.64E-06,-4.099308618,subtype: mesenchymal >= proneural
214585_s_at,VPS52,0.00821829,0.249698926,subtype: mesenchymal < proneural
220040_x_at,ZC4H2,2.04E-05,1.298595641,subtype: mesenchymal < proneural
212126_at,CBX5,9.35E-06,0.933481476,subtype: mesenchymal < proneural
220750_s_at,LEPRE1,1.65E-06,-0.958244205,subtype: mesenchymal >= proneural
209239_at,NFKB1,1.65E-06,-0.823825849,subtype: mesenchymal >= proneural
213932_x_at,HLA-A,1.68E-06,-0.782545225,subtype: mesenchymal >= proneural
218577_at,LRRC40,0.000330977,0.444064809,subtype: mesenchymal < proneural
204420_at,FOSL1,1.71E-06,-1.949243671,subtype: mesenchymal >= proneural
203859_s_at,PALM,2.76E-05,1.770657685,subtype: mesenchymal < proneural
219671_at,HPCAL4,0.000584177,1.503089714,subtype: mesenchymal < proneural
201841_s_at,HSPB1,1.72E-06,-1.271966085,subtype: mesenchymal >= proneural
204479_at,OSTF1,1.72E-06,-0.878227697,subtype: mesenchymal >= proneural
202767_at,ACP2,1.72E-06,-0.698653344,subtype: mesenchymal >= proneural
218252_at,CKAP2,2.10E-06,1.179273517,subtype: mesenchymal < proneural
202627_s_at,SERPINE1,1.75E-06,-3.004590104,subtype: mesenchymal >= proneural
201388_at,PSMD3,0.001927464,0.545169024,subtype: mesenchymal < proneural
201536_at,DUSP3,1.76E-06,-0.930071602,subtype: mesenchymal >= proneural
222212_s_at,CERS2,1.77E-06,-0.7262709,subtype: mesenchymal >= proneural
218880_at,FOSL2,1.82E-06,-1.175421727,subtype: mesenchymal >= proneural
212513_s_at,USP33,0.007908764,0.275356569,subtype: mesenchymal < proneural
209708_at,MOXD1,1.82E-06,-3.088427229,subtype: mesenchymal >= proneural
220234_at,CA8,0.002254741,1.544366765,subtype: mesenchymal < proneural
201058_s_at,MYL9,1.84E-06,-1.876092706,subtype: mesenchymal >= proneural
213733_at,MYO1F,1.85E-06,-1.022833046,subtype: mesenchymal >= proneural
219252_s_at,GEMIN8,0.001419505,0.431217066,subtype: mesenchymal < proneural
218472_s_at,PELO,1.85E-06,-0.576991945,subtype: mesenchymal >= proneural
204510_at,CDC7,1.28E-05,1.119894,subtype: mesenchymal < proneural
213351_s_at,TMCC1,2.82E-07,0.996775154,subtype: mesenchymal < proneural
217795_s_at,TMEM43,1.85E-06,-0.60778781,subtype: mesenchymal >= proneural
219170_at,FSD1,1.77E-06,1.578106386,subtype: mesenchymal < proneural
213061_s_at,NTAN1,1.87E-06,-0.784745436,subtype: mesenchymal >= proneural
205433_at,BCHE,2.72E-05,1.63334569,subtype: mesenchymal < proneural
204613_at,PLCG2,1.90E-06,-1.222530687,subtype: mesenchymal >= proneural
205134_s_at,NUFIP1,0.009900586,0.432462267,subtype: mesenchymal < proneural
203416_at,CD53,1.90E-06,-1.506884168,subtype: mesenchymal >= proneural
201207_at,TNFAIP1,0.009664175,0.284077849,subtype: mesenchymal < proneural
217965_s_at,SAP30BP,0.001347337,0.490248529,subtype: mesenchymal < proneural
214791_at,SP140L,1.95E-06,-1.653417491,subtype: mesenchymal >= proneural
202176_at,ERCC3,0.004350743,0.397563375,subtype: mesenchymal < proneural
209143_s_at,CLNS1A,0.003924485,0.345007141,subtype: mesenchymal < proneural
205098_at,CCR1,1.96E-06,-1.723719287,subtype: mesenchymal >= proneural
38671_at,PLXND1,1.98E-06,-0.936019353,subtype: mesenchymal >= proneural
207111_at,EMR1,2.00E-06,-2.405886276,subtype: mesenchymal >= proneural
203175_at,RHOG,2.04E-06,-1.005132003,subtype: mesenchymal >= proneural
200931_s_at,VCL,2.09E-06,-0.964796969,subtype: mesenchymal >= proneural
201397_at,PHGDH,2.55E-05,1.180232177,subtype: mesenchymal < proneural
201042_at,TGM2,2.10E-06,-1.368122426,subtype: mesenchymal >= proneural
218592_s_at,CECR5,1.28E-06,0.740998307,subtype: mesenchymal < proneural
201859_at,SRGN,2.10E-06,-1.232944452,subtype: mesenchymal >= proneural
202122_s_at,PLIN3,2.12E-06,-0.998750126,subtype: mesenchymal >= proneural
207540_s_at,SYK,2.14E-06,-1.503922973,subtype: mesenchymal >= proneural
213870_at,COL11A2,0.002119659,1.647873898,subtype: mesenchymal < proneural
218026_at,COA3,2.34E-05,0.580492351,subtype: mesenchymal < proneural
207426_s_at,TNFSF4,2.14E-06,-1.602683822,subtype: mesenchymal >= proneural
214111_at,OPCML,1.20E-07,3.679341734,subtype: mesenchymal < proneural
208782_at,FSTL1,2.21E-06,-1.3794297,subtype: mesenchymal >= proneural
214617_at,PRF1,2.24E-06,-1.78480096,subtype: mesenchymal >= proneural
215143_at,DPY19L2P2,0.000303171,0.837461254,subtype: mesenchymal < proneural
217870_s_at,CMPK1,2.25E-06,-0.538546626,subtype: mesenchymal >= proneural
213410_at,C10ORF137,0.000734037,0.484681757,subtype: mesenchymal < proneural
213676_at,TMEM151B,2.76E-05,2.139488838,subtype: mesenchymal < proneural
219076_s_at,PXMP2,0.000198071,0.635478163,subtype: mesenchymal < proneural
220345_at,LRRTM4,6.00E-09,2.341124191,subtype: mesenchymal < proneural
218924_s_at,CTBS,2.26E-06,-1.067720469,subtype: mesenchymal >= proneural
202720_at,TES,2.26E-06,-1.33935722,subtype: mesenchymal >= proneural
218424_s_at,STEAP3,2.27E-06,-1.809232742,subtype: mesenchymal >= proneural
210895_s_at,CD86,2.30E-06,-1.601929998,subtype: mesenchymal >= proneural
208833_s_at,ATXN10,0.002509503,0.399870585,subtype: mesenchymal < proneural
217973_at,DCXR,2.05E-05,0.708280864,subtype: mesenchymal < proneural
208712_at,CCND1,6.23E-05,1.414498987,subtype: mesenchymal < proneural
212556_at,SCRIB,0.002436624,0.605894493,subtype: mesenchymal < proneural
204868_at,ICT1,0.00923286,0.320572292,subtype: mesenchymal < proneural
204695_at,CDC25A,1.94E-05,1.187316333,subtype: mesenchymal < proneural
208890_s_at,PLXNB2,2.33E-06,-0.895207344,subtype: mesenchymal >= proneural
218899_s_at,BAALC,0.006966155,0.735884906,subtype: mesenchymal < proneural
202546_at,VAMP8,2.38E-06,-1.633828003,subtype: mesenchymal >= proneural
221877_at,IRGQ,0.004251523,0.6382668,subtype: mesenchymal < proneural
219433_at,BCOR,4.18E-05,0.964328907,subtype: mesenchymal < proneural
205027_s_at,MAP3K8,2.40E-06,-1.557343808,subtype: mesenchymal >= proneural
202185_at,PLOD3,2.41E-06,-0.928203363,subtype: mesenchymal >= proneural
202687_s_at,TNFSF10,2.42E-06,-2.014902777,subtype: mesenchymal >= proneural
203706_s_at,FZD7,2.42E-06,-2.044068516,subtype: mesenchymal >= proneural
208877_at,PAK2,0.00762894,0.384520252,subtype: mesenchymal < proneural
205215_at,RNF2,0.005919479,0.43438338,subtype: mesenchymal < proneural
213880_at,LGR5,0.004037525,1.406537716,subtype: mesenchymal < proneural
204449_at,PDCL,0.000895092,0.46514556,subtype: mesenchymal < proneural
207677_s_at,NCF4,2.47E-06,-1.857299356,subtype: mesenchymal >= proneural
220330_s_at,SAMSN1,2.51E-06,-1.453386253,subtype: mesenchymal >= proneural
221774_x_at,SUPT20H,0.004313005,0.50237289,subtype: mesenchymal < proneural
206490_at,DLGAP1,0.003478182,1.716531612,subtype: mesenchymal < proneural
217767_at,C3,2.54E-06,-1.537222452,subtype: mesenchymal >= proneural
39966_at,CSPG5,0.000194616,1.940290157,subtype: mesenchymal < proneural
209798_at,NPAT,0.002027629,0.421800714,subtype: mesenchymal < proneural
221822_at,CCDC101,4.16E-05,0.663171249,subtype: mesenchymal < proneural
204205_at,APOBEC3G,2.54E-06,-1.861810542,subtype: mesenchymal >= proneural
206103_at,RAC3,7.99E-06,2.212708555,subtype: mesenchymal < proneural
202071_at,SDC4,2.56E-06,-1.61357677,subtype: mesenchymal >= proneural
218086_at,NPDC1,0.002441321,0.722065907,subtype: mesenchymal < proneural
213019_at,RANBP6,0.000253239,0.507455739,subtype: mesenchymal < proneural
213306_at,MPDZ,0.000357373,0.864765258,subtype: mesenchymal < proneural
203567_s_at,TRIM38,2.58E-06,-1.579643564,subtype: mesenchymal >= proneural
213136_at,PTPN2,2.59E-06,-0.882777013,subtype: mesenchymal >= proneural
203244_at,PEX5,0.000893849,0.582318724,subtype: mesenchymal < proneural
219998_at,LGALSL,0.000422701,0.800305824,subtype: mesenchymal < proneural
203964_at,NMI,2.65E-06,-0.962701681,subtype: mesenchymal >= proneural
203923_s_at,CYBB,2.74E-06,-1.452795472,subtype: mesenchymal >= proneural
200905_x_at,HLA-E,2.82E-06,-1.065864672,subtype: mesenchymal >= proneural
202491_s_at,IKBKAP,0.00010698,0.604841627,subtype: mesenchymal < proneural
221046_s_at,GTPBP8,0.000273408,0.43220793,subtype: mesenchymal < proneural
205547_s_at,TAGLN,2.85E-06,-1.806675359,subtype: mesenchymal >= proneural
204662_at,CCP110,3.28E-05,0.76755414,subtype: mesenchymal < proneural
217969_at,VPS51,0.006431167,0.458929144,subtype: mesenchymal < proneural
221816_s_at,PHF11,2.85E-06,-1.16872618,subtype: mesenchymal >= proneural
213302_at,PFAS,0.000794846,0.685900861,subtype: mesenchymal < proneural
207105_s_at,PIK3R2,0.003582447,0.484962202,subtype: mesenchymal < proneural
218427_at,SDCCAG3,0.00754757,0.424939322,subtype: mesenchymal < proneural
213845_at,GRIK2,2.64E-06,1.729713923,subtype: mesenchymal < proneural
201288_at,ARHGDIB,3.02E-06,-1.194258886,subtype: mesenchymal >= proneural
209337_at,PSIP1,8.42E-05,0.906003008,subtype: mesenchymal < proneural
203411_s_at,LMNA,3.04E-06,-0.984524734,subtype: mesenchymal >= proneural
218017_s_at,HGSNAT,3.10E-06,-0.800709001,subtype: mesenchymal >= proneural
201517_at,NCBP2,0.002581097,0.302222679,subtype: mesenchymal < proneural
205266_at,LIF,3.11E-06,-2.757532467,subtype: mesenchymal >= proneural
211036_x_at,ANAPC5,0.003586287,0.313032914,subtype: mesenchymal < proneural
203649_s_at,PLA2G2A,3.13E-06,-3.941929347,subtype: mesenchymal >= proneural
204474_at,ZNF142,0.004207787,0.374983775,subtype: mesenchymal < proneural
206477_s_at,NOVA2,0.009910353,0.819618037,subtype: mesenchymal < proneural
206028_s_at,MERTK,3.13E-06,-1.234147492,subtype: mesenchymal >= proneural
222162_s_at,ADAMTS1,3.13E-06,-1.721824582,subtype: mesenchymal >= proneural
206915_at,NKX2-2,2.54E-08,2.284774125,subtype: mesenchymal < proneural
205656_at,PCDH17,0.000564348,0.813215997,subtype: mesenchymal < proneural
213211_s_at,TAF6L,0.007650529,0.983050241,subtype: mesenchymal < proneural
204122_at,TYROBP,3.13E-06,-1.531094699,subtype: mesenchymal >= proneural
204267_x_at,PKMYT1,8.42E-05,0.86668195,subtype: mesenchymal < proneural
212824_at,FUBP3,0.001474651,0.421465359,subtype: mesenchymal < proneural
220047_at,SIRT4,0.000607871,1.238086299,subtype: mesenchymal < proneural
218164_at,SPATA20,3.14E-06,-1.227171704,subtype: mesenchymal >= proneural
215532_x_at,ZNF492,0.009686231,0.983022721,subtype: mesenchymal < proneural
202375_at,SEC24D,3.14E-06,-1.041049784,subtype: mesenchymal >= proneural
205934_at,PLCL1,0.006142154,0.740476654,subtype: mesenchymal < proneural
219240_s_at,C10ORF88,0.001111934,0.420119798,subtype: mesenchymal < proneural
209348_s_at,MAF,3.20E-06,-0.936146363,subtype: mesenchymal >= proneural
205189_s_at,FANCC,0.003734233,0.678379188,subtype: mesenchymal < proneural
203044_at,CHSY1,3.22E-06,-0.810390263,subtype: mesenchymal >= proneural
206157_at,PTX3,3.23E-06,-2.73490164,subtype: mesenchymal >= proneural
204220_at,GMFG,3.27E-06,-1.448624335,subtype: mesenchymal >= proneural
207992_s_at,AMPD3,3.27E-06,-1.369738306,subtype: mesenchymal >= proneural
201641_at,BST2,3.28E-06,-1.641221397,subtype: mesenchymal >= proneural
213416_at,ITGA4,3.29E-06,-1.349924449,subtype: mesenchymal >= proneural
57082_at,LDLRAP1,3.29E-06,-0.893717373,subtype: mesenchymal >= proneural
203857_s_at,PDIA5,3.34E-06,-1.15712397,subtype: mesenchymal >= proneural
219716_at,APOL6,3.36E-06,-1.326461139,subtype: mesenchymal >= proneural
204971_at,CSTA,3.39E-06,-2.207207661,subtype: mesenchymal >= proneural
219415_at,TTYH1,4.03E-05,1.851501125,subtype: mesenchymal < proneural
213975_s_at,LYZ,3.39E-06,-2.019731893,subtype: mesenchymal >= proneural
205518_s_at,CMAHP,3.43E-06,-1.695272045,subtype: mesenchymal >= proneural
203254_s_at,TLN1,3.43E-06,-0.845683825,subtype: mesenchymal >= proneural
215926_x_at,SNAPC4,0.002482231,0.775143063,subtype: mesenchymal < proneural
213160_at,DOCK2,3.44E-06,-1.336595911,subtype: mesenchymal >= proneural
219264_s_at,PPP2R3B,0.001575093,1.248974342,subtype: mesenchymal < proneural
219659_at,ATP8A2,0.005004152,1.375163495,subtype: mesenchymal < proneural
204436_at,PLEKHO2,3.44E-06,-0.97478088,subtype: mesenchymal >= proneural
213906_at,MYBL1,0.000102159,1.069627076,subtype: mesenchymal < proneural
217771_at,GOLM1,3.34E-05,0.772458578,subtype: mesenchymal < proneural
41397_at,ZNF821,5.33E-08,1.419038757,subtype: mesenchymal < proneural
210224_at,MR1,3.44E-06,-1.056277759,subtype: mesenchymal >= proneural
220495_s_at,TXNDC15,3.50E-06,-0.571757028,subtype: mesenchymal >= proneural
204007_at,FCGR3B,3.54E-06,-1.243726884,subtype: mesenchymal >= proneural
219481_at,TTC13,4.61E-05,0.688065778,subtype: mesenchymal < proneural
207091_at,P2RX7,0.002025881,1.090944786,subtype: mesenchymal < proneural
211336_x_at,LILRB1,3.57E-06,-1.72542675,subtype: mesenchymal >= proneural
202710_at,BET1,3.66E-06,-0.604184689,subtype: mesenchymal >= proneural
202454_s_at,ERBB3,1.64E-07,2.942090197,subtype: mesenchymal < proneural
208723_at,USP11,3.10E-06,0.665447663,subtype: mesenchymal < proneural
222250_s_at,INTS7,0.001347656,0.837697362,subtype: mesenchymal < proneural
220443_s_at,VAX2,1.68E-06,1.832781221,subtype: mesenchymal < proneural
204372_s_at,KHSRP,0.00119087,0.431243982,subtype: mesenchymal < proneural
204788_s_at,PPOX,0.006153638,0.4083203,subtype: mesenchymal < proneural
213701_at,C12ORF29,0.002325474,0.55235545,subtype: mesenchymal < proneural
211475_s_at,BAG1,0.001949451,0.484224177,subtype: mesenchymal < proneural
218368_s_at,TNFRSF12A,3.66E-06,-1.383015853,subtype: mesenchymal >= proneural
202510_s_at,TNFAIP2,3.67E-06,-1.852482525,subtype: mesenchymal >= proneural
215706_x_at,ZYX,3.71E-06,-1.219445566,subtype: mesenchymal >= proneural
202729_s_at,LTBP1,3.76E-06,-1.569072683,subtype: mesenchymal >= proneural
212267_at,WAPAL,0.005596533,0.388622673,subtype: mesenchymal < proneural
214608_s_at,EYA1,0.000103863,2.662945112,subtype: mesenchymal < proneural
215058_at,DENND5B,6.42E-05,0.986807486,subtype: mesenchymal < proneural
220532_s_at,TMEM176B,3.76E-06,-1.894283149,subtype: mesenchymal >= proneural
212482_at,RMND5A,0.000129224,0.760022189,subtype: mesenchymal < proneural
209242_at,PEG3,0.001408057,1.684183181,subtype: mesenchymal < proneural
206495_s_at,HINFP,0.007806584,0.466469269,subtype: mesenchymal < proneural
203233_at,IL4R,3.79E-06,-2.022049927,subtype: mesenchymal >= proneural
203374_s_at,TPP2,0.007577281,0.679589211,subtype: mesenchymal < proneural
212097_at,CAV1,3.88E-06,-1.600998388,subtype: mesenchymal >= proneural
214104_at,GPR161,0.003557057,0.593524002,subtype: mesenchymal < proneural
221107_at,CHRNA9,3.91E-06,-2.328740434,subtype: mesenchymal >= proneural
208374_s_at,CAPZA1,4.07E-06,-0.560046841,subtype: mesenchymal >= proneural
212621_at,TMEM194A,0.00974347,0.56123057,subtype: mesenchymal < proneural
209340_at,UAP1,4.09E-06,-0.832044522,subtype: mesenchymal >= proneural
201080_at,PIP4K2B,2.19E-07,0.97495866,subtype: mesenchymal < proneural
213253_at,SMC2,0.000432919,0.677015478,subtype: mesenchymal < proneural
219549_s_at,RTN3,5.02E-06,1.045030493,subtype: mesenchymal < proneural
202748_at,GBP2,4.15E-06,-1.502525312,subtype: mesenchymal >= proneural
203602_s_at,ZBTB17,0.000699078,0.616432566,subtype: mesenchymal < proneural
203963_at,CA12,4.16E-06,-2.096068436,subtype: mesenchymal >= proneural
204031_s_at,PCBP2,0.001208529,0.384189138,subtype: mesenchymal < proneural
208982_at,PECAM1,4.26E-06,-1.039723523,subtype: mesenchymal >= proneural
207224_s_at,SIGLEC7,4.26E-06,-1.837561767,subtype: mesenchymal >= proneural
202556_s_at,MCRS1,0.004088243,0.954510005,subtype: mesenchymal < proneural
218747_s_at,TAPBPL,4.30E-06,-0.997515251,subtype: mesenchymal >= proneural
202201_at,BLVRB,4.40E-06,-1.441039294,subtype: mesenchymal >= proneural
221565_s_at,CALHM2,4.70E-06,-1.458892852,subtype: mesenchymal >= proneural
211795_s_at,FYB,4.72E-06,-1.453873641,subtype: mesenchymal >= proneural
206661_at,DBF4B,0.000486231,1.51764374,subtype: mesenchymal < proneural
201498_at,USP7,4.01E-05,0.46835286,subtype: mesenchymal < proneural
219596_at,THAP10,0.000166998,0.680866635,subtype: mesenchymal < proneural
216264_s_at,LAMB2,4.74E-06,-1.027327445,subtype: mesenchymal >= proneural
206516_at,AMH,0.000236313,1.15499625,subtype: mesenchymal < proneural
217829_s_at,USP39,0.001077041,0.397646213,subtype: mesenchymal < proneural
215767_at,ZNF804A,3.58E-05,1.809830124,subtype: mesenchymal < proneural
211529_x_at,HLA-G,4.79E-06,-1.203289337,subtype: mesenchymal >= proneural
60471_at,RIN3,4.79E-06,-1.011612116,subtype: mesenchymal >= proneural
207808_s_at,PROS1,4.84E-06,-1.271123303,subtype: mesenchymal >= proneural
206087_x_at,HFE,4.86E-06,-1.130574381,subtype: mesenchymal >= proneural
212459_x_at,SUCLG2,4.86E-06,-0.802974612,subtype: mesenchymal >= proneural
209124_at,MYD88,4.94E-06,-0.931496591,subtype: mesenchymal >= proneural
218599_at,REC8,3.11E-05,1.521338735,subtype: mesenchymal < proneural
202018_s_at,LTF,4.97E-06,-5.065419574,subtype: mesenchymal >= proneural
211988_at,SMARCE1,1.88E-06,0.589366258,subtype: mesenchymal < proneural
208552_at,GRIK4,0.000675242,1.63446044,subtype: mesenchymal < proneural
64942_at,GPR153,0.000805406,0.8942173,subtype: mesenchymal < proneural
202178_at,PRKCZ,6.89E-07,1.651557272,subtype: mesenchymal < proneural
214742_at,AZI1,0.0041318,0.733938991,subtype: mesenchymal < proneural
202580_x_at,FOXM1,0.009722204,0.834050334,subtype: mesenchymal < proneural
38158_at,ESPL1,0.002408236,0.955844065,subtype: mesenchymal < proneural
204929_s_at,VAMP5,5.21E-06,-1.444409276,subtype: mesenchymal >= proneural
203721_s_at,UTP18,0.002702453,0.276351947,subtype: mesenchymal < proneural
210139_s_at,PMP22,5.30E-06,-1.234515837,subtype: mesenchymal >= proneural
208972_s_at,ATP5G1,0.007371731,0.391111396,subtype: mesenchymal < proneural
205798_at,IL7R,5.30E-06,-2.176997077,subtype: mesenchymal >= proneural
41047_at,C9ORF16,0.005622544,0.493990502,subtype: mesenchymal < proneural
203879_at,PIK3CD,5.41E-06,-1.166305453,subtype: mesenchymal >= proneural
208095_s_at,SRP72,0.009336663,0.339399471,subtype: mesenchymal < proneural
211071_s_at,MLLT11,6.61E-07,1.269511496,subtype: mesenchymal < proneural
219973_at,ARSJ,5.44E-06,-2.553875432,subtype: mesenchymal >= proneural
221959_at,FAM110B,4.10E-06,0.942862034,subtype: mesenchymal < proneural
217436_x_at,HLA-J,5.46E-06,-1.160808172,subtype: mesenchymal >= proneural
219087_at,ASPN,5.46E-06,-2.686352042,subtype: mesenchymal >= proneural
209637_s_at,RGS12,0.003551158,0.839129053,subtype: mesenchymal < proneural
207723_s_at,KLRC3,7.74E-10,4.716802124,subtype: mesenchymal < proneural
218616_at,INTS12,0.006551565,0.352979988,subtype: mesenchymal < proneural
200797_s_at,MCL1,5.49E-06,-0.671967429,subtype: mesenchymal >= proneural
212664_at,TUBB4A,0.000205438,1.776777965,subtype: mesenchymal < proneural
207610_s_at,EMR2,5.50E-06,-1.587342322,subtype: mesenchymal >= proneural
203507_at,CD68,5.54E-06,-1.59647369,subtype: mesenchymal >= proneural
218352_at,RCBTB1,0.000503401,0.640919165,subtype: mesenchymal < proneural
219582_at,OGFRL1,5.55E-06,-1.051102204,subtype: mesenchymal >= proneural
210176_at,TLR1,5.71E-06,-1.201539501,subtype: mesenchymal >= proneural
206060_s_at,PTPN22,5.71E-06,-2.065012863,subtype: mesenchymal >= proneural
209470_s_at,GPM6A,4.91E-08,1.211447798,subtype: mesenchymal < proneural
203010_at,STAT5A,5.71E-06,-1.022000092,subtype: mesenchymal >= proneural
202458_at,PRSS23,5.71E-06,-1.370594387,subtype: mesenchymal >= proneural
202996_at,POLD4,5.83E-06,-0.806040204,subtype: mesenchymal >= proneural
219885_at,SLFN12,5.94E-06,-1.319794549,subtype: mesenchymal >= proneural
210261_at,KCNK2,0.001189071,1.604754072,subtype: mesenchymal < proneural
209818_s_at,HABP4,0.005503251,0.508861476,subtype: mesenchymal < proneural
212931_at,TCF20,0.001716536,0.465686647,subtype: mesenchymal < proneural
209617_s_at,CTNND2,0.000355821,1.154202866,subtype: mesenchymal < proneural
207574_s_at,GADD45B,6.08E-06,-1.474181873,subtype: mesenchymal >= proneural
207283_at,RPL23AP32,0.006437062,0.58158796,subtype: mesenchymal < proneural
44783_s_at,HEY1,0.001950213,0.590299192,subtype: mesenchymal < proneural
57163_at,ELOVL1,6.12E-06,-0.851643895,subtype: mesenchymal >= proneural
204287_at,SYNGR1,0.000362439,0.843569202,subtype: mesenchymal < proneural
218576_s_at,DUSP12,0.008304144,0.390859951,subtype: mesenchymal < proneural
221870_at,EHD2,6.14E-06,-2.085914986,subtype: mesenchymal >= proneural
202357_s_at,CFB,6.18E-06,-2.067497173,subtype: mesenchymal >= proneural
207714_s_at,SERPINH1,6.43E-06,-1.659570347,subtype: mesenchymal >= proneural
209711_at,SLC35D1,6.46E-06,-0.63891247,subtype: mesenchymal >= proneural
218263_s_at,ZBED5,0.00025155,0.465581547,subtype: mesenchymal < proneural
201850_at,CAPG,6.49E-06,-1.592362315,subtype: mesenchymal >= proneural
221745_at,DCAF7,4.04E-07,0.86534459,subtype: mesenchymal < proneural
206662_at,GLRX,6.51E-06,-1.484851026,subtype: mesenchymal >= proneural
210307_s_at,KLHL25,8.38E-05,1.643202,subtype: mesenchymal < proneural
221900_at,COL8A2,6.53E-06,-1.856897824,subtype: mesenchymal >= proneural
209982_s_at,NRXN2,8.98E-07,2.215405446,subtype: mesenchymal < proneural
212470_at,SPAG9,0.001870348,0.549359046,subtype: mesenchymal < proneural
201540_at,FHL1,0.003816493,0.56247676,subtype: mesenchymal < proneural
209575_at,IL10RB,6.61E-06,-0.770201056,subtype: mesenchymal >= proneural
201714_at,TUBG1,0.004648406,0.475387186,subtype: mesenchymal < proneural
216350_s_at,ZNF10,0.000387278,0.855287331,subtype: mesenchymal < proneural
204826_at,CCNF,0.009831785,0.901512611,subtype: mesenchymal < proneural
219306_at,KIF15,0.000253736,1.278702108,subtype: mesenchymal < proneural
212063_at,CD44,6.90E-06,-1.452731988,subtype: mesenchymal >= proneural
203603_s_at,ZEB2,4.77E-06,0.797332202,subtype: mesenchymal < proneural
209518_at,SMARCD1,6.69E-05,0.845255877,subtype: mesenchymal < proneural
205819_at,MARCO,6.92E-06,-2.621454953,subtype: mesenchymal >= proneural
214830_at,SLC38A6,6.94E-06,-1.087976076,subtype: mesenchymal >= proneural
213386_at,TMEM246,5.78E-06,1.718066538,subtype: mesenchymal < proneural
209150_s_at,TM9SF1,7.15E-06,-0.735855443,subtype: mesenchymal >= proneural
201302_at,ANXA4,7.17E-06,-1.262658105,subtype: mesenchymal >= proneural
204215_at,TMEM243,7.21E-06,-0.629064314,subtype: mesenchymal >= proneural
221582_at,HIST3H2A,0.00032645,1.654742038,subtype: mesenchymal < proneural
203028_s_at,CYBA,7.31E-06,-1.278635973,subtype: mesenchymal >= proneural
202022_at,ALDOC,4.11E-05,1.540911153,subtype: mesenchymal < proneural
212852_s_at,TROVE2,3.43E-05,0.490308323,subtype: mesenchymal < proneural
200654_at,P4HB,7.34E-06,-0.904895651,subtype: mesenchymal >= proneural
201079_at,SYNGR2,7.34E-06,-1.177136922,subtype: mesenchymal >= proneural
206137_at,RIMS2,9.30E-05,2.176047149,subtype: mesenchymal < proneural
207375_s_at,IL15RA,7.34E-06,-1.348896589,subtype: mesenchymal >= proneural
205053_at,PRIM1,4.74E-07,1.065029858,subtype: mesenchymal < proneural
202183_s_at,KIF22,2.21E-06,0.900038644,subtype: mesenchymal < proneural
217899_at,TMEM214,7.35E-06,-0.56885589,subtype: mesenchymal >= proneural
208783_s_at,CD46,7.35E-06,-0.606896051,subtype: mesenchymal >= proneural
205870_at,BDKRB2,7.39E-06,-1.928021844,subtype: mesenchymal >= proneural
205403_at,IL1R2,7.43E-06,-2.509586097,subtype: mesenchymal >= proneural
218418_s_at,KANK2,7.43E-06,-1.138183753,subtype: mesenchymal >= proneural
200627_at,PTGES3,0.000323047,0.326997764,subtype: mesenchymal < proneural
204236_at,FLI1,7.60E-06,-1.161579549,subtype: mesenchymal >= proneural
202513_s_at,PPP2R5D,0.004258707,0.400603181,subtype: mesenchymal < proneural
204959_at,MNDA,7.71E-06,-1.567992521,subtype: mesenchymal >= proneural
